title,genre,budget,gross,ROI,segment
The Entity,Drama,9000000.0,13277558.0,0.4752842222222222,Other
Airplane II: the Sequel,Comedy,15000000.0,27150534.0,0.8100356,Other
The Toy,Comedy,17000000.0,47118057.0,1.7716504117647058,Other
The House on Sorority Row,Horror,425000.0,10604986.0,23.952908235294117,Indie Hit
Evil Under the Sun,Crime,10000000.0,6110670.0,-0.388933,Other
Death Wish II,Action,2000000.0,16100000.0,7.05,Indie Hit
Silent Rage,Action,4500000.0,10490791.0,1.331286888888889,Other
Megaforce,Action,20000000.0,5675599.0,-0.71622005,Other
Personal Best,Drama,16000000.0,5672311.0,-0.6454805625,Other
Dead Men Don't Wear Plaid,Comedy,9000000.0,18196170.0,1.0217966666666667,Other
Amityville II: The Possession,Horror,5000000.0,12534817.0,1.5069634,Other
Missing,Biography,9500000.0,14000000.0,0.47368421052631576,Other
Cannery Row,Comedy,11300000.0,5301539.0,-0.5308372566371682,Other
Tempest,Comedy,13000000.0,5005245.0,-0.6149811538461538,Other
Still of the Night,Crime,10000000.0,5979947.0,-0.4020053,Other
Parasite,Horror,800000.0,2270.0,-0.9971625,Other
Honkytonk Man,Comedy,2000000.0,4484991.0,1.2424955,Other
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy,850000.0,840958.0,-0.01063764705882353,Other
The Final Option,Action,6000000.0,2666873.0,-0.5555211666666666,Other
Trail of the Pink Panther,Comedy,6000000.0,9056073.0,0.5093455,Other
The Border,Crime,22000000.0,6118683.0,-0.7218780454545455,Failure
Best Friends,Comedy,15000000.0,36821203.0,1.4547468666666667,Other
Shoot the Moon,Drama,12000000.0,9217530.0,-0.2318725,Other
Lookin' to Get Out,Comedy,17000000.0,946461.0,-0.9443258235294117,Other
Barbarosa,Western,11000000.0,1736123.0,-0.8421706363636363,Other
The Soldier,Action,4000000.0,6328816.0,0.582204,Other
Wrong Is Right,Comedy,10000000.0,3583513.0,-0.6416487,Other
Jekyll and Hyde... Together Again,Sci-Fi,5000000.0,3792188.0,-0.2415624,Other
Forced Vengeance,Action,5000000.0,6660333.0,0.3320666,Other
Night Crossing,Drama,10000000.0,8000000.0,-0.2,Other
Things Are Tough All Over,Action,7000000.0,21134374.0,2.0191962857142856,Other
Jinxed!,Comedy,13400000.0,2869638.0,-0.7858479104477611,Other
Five Days One Summer,Drama,15000000.0,199078.0,-0.9867281333333333,Other
Partners,Comedy,6000000.0,6062898.0,0.010483,Other
"Yes, Giorgio",Comedy,19000000.0,2279543.0,-0.8800240526315789,Other
Scarface,Crime,25000000.0,65884703.0,1.63538812,Other
The Outsiders,Crime,10000000.0,25697647.0,1.5697647,Other
Star Wars: Episode VI - Return of the Jedi,Action,32500000.0,475106177.0,13.6186516,Blockbuster
Risky Business,Comedy,6200000.0,63541777.0,9.24867370967742,Indie Hit
National Lampoon's Vacation,Adventure,15000000.0,61399552.0,3.093303466666667,Indie Hit
Trading Places,Comedy,15000000.0,90404800.0,5.026986666666667,Indie Hit
Superman III,Action,39000000.0,59950623.0,0.5371954615384615,Other
The Big Chill,Comedy,8000000.0,56399659.0,6.049957375,Indie Hit
Staying Alive,Drama,22000000.0,64892670.0,1.9496668181818182,Other
Jaws 3-D,Adventure,20500000.0,87987055.0,3.292051463414634,Indie Hit
Christine,Horror,9700000.0,21017849.0,1.166788556701031,Other
Flashdance,Drama,4000000.0,92921203.0,22.23030075,Indie Hit
WarGames,Action,12000000.0,79567667.0,5.630638916666666,Indie Hit
The Right Stuff,Adventure,27000000.0,21192315.0,-0.21509944444444445,Failure
Krull,Action,47000000.0,16916617.0,-0.6400719787234043,Failure
The Dead Zone,Drama,10000000.0,20766616.0,1.0766616,Other
Octopussy,Action,27500000.0,67893619.0,1.4688588727272727,Other
Private School,Comedy,3500000.0,14049540.0,3.0141542857142856,Indie Hit
Valley Girl,Comedy,350000.0,17343596.0,48.553131428571426,Indie Hit
Rumble Fish,Crime,10000000.0,2494480.0,-0.750552,Other
Videodrome,Horror,5952000.0,2120439.0,-0.6437434475806452,Other
Terms of Endearment,Comedy,8000000.0,108423749.0,12.552968625,Indie Hit
Twilight Zone: The Movie,Horror,10000000.0,29450919.0,1.9450919,Other
Never Say Never Again,Action,36000000.0,55432841.0,0.5398011388888889,Other
A Christmas Story,Comedy,3300000.0,20653717.0,5.258702121212121,Indie Hit
Cujo,Horror,5000000.0,21156152.0,3.2312304,Indie Hit
Sudden Impact,Action,22000000.0,67642693.0,2.0746678636363636,Other
Blue Thunder,Action,22000000.0,42313354.0,0.9233342727272728,Other
Breathless,Action,7500000.0,19910002.0,1.6546669333333333,Other
Psycho II,Crime,5000000.0,34725000.0,5.945,Indie Hit
Silkwood,Biography,10000000.0,35615609.0,2.5615609,Other
All the Right Moves,Drama,5600000.0,17233166.0,2.0773510714285712,Other
The Keep,Drama,11000000.0,4218594.0,-0.6164914545454545,Other
Yentl,Drama,12000000.0,40218899.0,2.351574916666667,Other
Fire and Ice,Animation,1200000.0,760883.0,-0.3659308333333333,Other
Yellowbeard,Action,6500000.0,4300000.0,-0.3384615384615385,Other
The Meaning of Life,Comedy,9000000.0,14949697.0,0.6610774444444445,Other
Deathstalker,Action,457000.0,11919250.0,25.081509846827135,Indie Hit
Porky's II: The Next Day,Comedy,6500000.0,33759266.0,4.193733230769231,Indie Hit
Something Wicked This Way Comes,Fantasy,19000000.0,8400000.0,-0.5578947368421052,Other
Star 80,Biography,12000000.0,6472990.0,-0.4605841666666667,Other
Gorky Park,Crime,15000000.0,15856028.0,0.05706853333333333,Other
Lone Wolf McQuade,Action,5000000.0,12232628.0,1.4465256,Other
Losin' It,Comedy,7000000.0,1246141.0,-0.8219798571428572,Other
Screwballs,Comedy,800000.0,2082215.0,1.60276875,Other
Brainstorm,Sci-Fi,15000000.0,10219460.0,-0.3187026666666667,Other
Angel,Action,3000000.0,17488564.0,4.829521333333333,Indie Hit
10 to Midnight,Crime,4520000.0,7175592.0,0.5875203539823008,Other
Uncommon Valor,Action,14500000.0,30503151.0,1.1036655862068965,Other
Mortuary,Horror,250000.0,4319001.0,16.276004,Indie Hit
Sahara,Adventure,25000000.0,1402962.0,-0.94388152,Failure
Two of a Kind,Comedy,14000000.0,23646952.0,0.689068,Other
Chained Heat,Action,1250000.0,6149983.0,3.9199864,Indie Hit
Spacehunter: Adventures in the Forbidden Zone,Action,14400000.0,16478265.0,0.14432395833333334,Other
High Road to China,Adventure,19000000.0,28445927.0,0.49715405263157897,Other
Rock & Rule,Animation,8000000.0,30379.0,-0.996202625,Other
Hercules,Adventure,2500000.0,10676194.0,3.2704776,Indie Hit
Under Fire,Drama,9500000.0,5696391.0,-0.4003798947368421,Other
Amityville 3-D,Horror,6000000.0,6333135.0,0.0555225,Other
The Osterman Weekend,Action,6500000.0,6486797.0,-0.002031230769230769,Other
Revenge of the Ninja,Action,700000.0,13168027.0,17.811467142857143,Indie Hit
To Be or Not to Be,Comedy,9000000.0,13030214.0,0.44780155555555556,Other
The Wicked Lady,Adventure,8000000.0,724912.0,-0.909386,Other
Of Unknown Origin,Horror,4000000.0,1080470.0,-0.7298825,Other
